
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:45769          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:57899          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    192.168.1.142:139      0.0.0.0:0              LISTENING
  TCP    192.168.1.142:57790    52.226.139.121:443     ESTABLISHED
  TCP    192.168.1.142:57882    52.96.79.194:443       ESTABLISHED
  TCP    192.168.1.142:57892    34.202.172.103:443     ESTABLISHED
  TCP    192.168.1.142:57901    34.98.74.57:443        CLOSE_WAIT
  TCP    192.168.1.142:57907    104.154.127.126:4070   ESTABLISHED
  TCP    192.168.1.142:57910    35.186.224.25:443      CLOSE_WAIT
  TCP    192.168.1.142:57911    35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.142:57912    35.186.224.25:443      ESTABLISHED
  TCP    192.168.1.142:57913    35.186.224.47:443      ESTABLISHED
  TCP    192.168.1.142:57914    151.101.94.248:443     CLOSE_WAIT
  TCP    192.168.1.142:57915    35.186.224.19:443      ESTABLISHED
  TCP    192.168.1.142:57920    35.186.224.42:443      ESTABLISHED
  TCP    192.168.1.142:57932    151.101.94.248:443     CLOSE_WAIT
  TCP    192.168.1.142:57933    192.168.1.24:8009      ESTABLISHED
  TCP    192.168.1.142:57965    18.204.224.125:443     CLOSE_WAIT
  TCP    192.168.1.142:57969    172.217.162.227:443    ESTABLISHED
  TCP    192.168.1.142:57970    172.217.29.205:443     ESTABLISHED
  TCP    192.168.1.142:57972    13.107.18.254:443      TIME_WAIT
  TCP    192.168.1.142:57973    64.233.190.188:5228    ESTABLISHED
  TCP    192.168.1.142:57974    13.107.42.254:443      TIME_WAIT
  TCP    192.168.1.142:57975    204.79.197.200:443     TIME_WAIT
  TCP    192.168.1.142:57976    204.79.197.254:443     ESTABLISHED
  TCP    192.168.1.142:57977    192.168.1.24:8009      ESTABLISHED
  TCP    192.168.1.142:57978    104.18.20.226:80       TIME_WAIT
  TCP    192.168.1.142:57979    104.18.31.182:80       TIME_WAIT
  TCP    192.168.1.142:57980    192.16.58.8:80         TIME_WAIT
  TCP    192.168.1.142:57981    192.16.58.8:80         TIME_WAIT
  TCP    192.168.1.142:57982    104.87.43.196:80       TIME_WAIT
  TCP    192.168.1.142:57983    20.54.24.79:443        TIME_WAIT
  TCP    192.168.1.142:57984    13.68.233.9:443        ESTABLISHED
  TCP    192.168.1.142:57985    172.217.173.174:443    ESTABLISHED
  TCP    192.168.1.142:57986    142.250.79.99:443      ESTABLISHED
  TCP    192.168.1.142:57990    65.108.42.14:443       CLOSE_WAIT
  TCP    192.168.1.142:57991    65.108.42.14:443       CLOSE_WAIT
  TCP    192.168.1.142:57993    8.241.201.126:80       TIME_WAIT
  TCP    192.168.1.142:57994    172.217.162.227:443    ESTABLISHED
  TCP    192.168.1.142:57997    152.199.55.200:443     ESTABLISHED
  TCP    192.168.1.142:57999    13.107.136.254:443     ESTABLISHED
  TCP    192.168.1.142:58000    8.241.201.126:80       TIME_WAIT
  TCP    192.168.1.142:58002    13.107.4.254:443       ESTABLISHED
  TCP    192.168.1.142:58003    13.107.18.254:443      ESTABLISHED
  TCP    192.168.1.142:58004    13.107.42.254:443      TIME_WAIT
  TCP    192.168.1.142:58005    13.89.178.26:443       TIME_WAIT
  TCP    192.168.1.142:58006    52.97.11.82:443        ESTABLISHED
  TCP    192.168.1.142:58007    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.142:58008    52.97.11.82:443        ESTABLISHED
  TCP    192.168.1.142:58009    204.79.197.200:443     ESTABLISHED
  TCP    192.168.1.142:58010    142.250.79.138:443     ESTABLISHED
  TCP    192.168.1.142:58011    142.250.79.142:443     ESTABLISHED
  TCP    192.168.1.142:58012    13.107.246.254:443     ESTABLISHED
  TCP    192.168.1.142:58013    13.107.42.254:443      ESTABLISHED
  TCP    192.168.1.142:58014    52.113.196.254:443     ESTABLISHED
  TCP    192.168.1.142:58015    204.79.197.222:443     ESTABLISHED
  TCP    192.168.1.142:58016    20.201.21.178:443      ESTABLISHED
